project_id,span_type,matched_phrase,heading_title,snippet,threshold_extraction_run_at,threshold_llm_run_at
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Environmental Consequences,"Significance Criteria Land use impacts would be significant if:  The Project is not compatible with land use plans or regulations adopted by local, state, or federal agencies  The",2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Recreation,from the North Gila–Orchard transmission line ROW. Environmental Consequences Significance Criteria Recreation impacts would be significant if:  The Project conflicts with established recreational areas; or  The Project results in decreased accessibility to ar,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Recreation impacts would be significant if:  The Project conflicts with established recreational areas; or  The Project results in decreased accessibility to ar,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,"Significance Criteria Impacts to cultural resources and Native American religious concerns would be significant if:  The Project results in damage to, alteration to, or loss of, a site of archaeological, Tribal or historical value th",2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Wildlife,scribed in further detail in the BE (see Appendix B). Environmental Consequences Significance Criteria Wildlife impacts would be significant if:  The Project results in local loss of wildlife habitat (as compared to total available resources within the area) or,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Wildlife impacts would be significant if:  The Project results in local loss of wildlife habitat (as compared to total available resources within the area) or,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Environmental Consequences,Significance Criteria Wildlife impacts would be significant if:  The Project results in local loss of wildlife habitat (as compared to total available resources within the area) or,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Impacts to special-status species would be significant if:  The Project jeopardizes the continued existence of a federally-listed species.  The Project results in loss of indi,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Impacts to public health and safety would be significant if:  The Project increases health and safety risks to area residents and the general public;  The Project increases heal,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Impacts to noise would be significant if:  The Project exposes persons to or generate noise in excess of EPA recommendations; or  The Project results in a sub,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,"Significance Criteria Impacts to water resources and floodplains would be significant if:  Project activities modify the floodwater or substantially alter the floodplain, diverting floodwaters to areas previ",2026-07-22T17:34:50.050859+00:00,
00b2f4e33f9e91f7ffe1401338859099,resource,would be significant if,SOCIOECONOMICS,nd resource evaluated. Table 4-1: Impact Significance Thresholds Resource Area Impact Significance Thresholds An impact would be significant if it EXCEEDS the following conditions,2026-07-22T17:34:50.050859+00:00,
00b2f4e33f9e91f7ffe1401338859099,resource,would require an eis,SOCIOECONOMICS,"to determine whether the Burns & McDonnell’s Proposed Project could cause significant impacts, which would require the preparation of an Environmental Impact Statement (40 CFR 1508.9), or, whether a Finding of No Significant Impact can be issued for the Burns & McDonnell’s Proposed Proj",2026-07-22T17:34:50.050859+00:00,
00b2f4e33f9e91f7ffe1401338859099,finding,would be significant if,ENVIRONMENTAL CONSEQUENCES,nd resource evaluated. Table 4-1: Impact Significance Thresholds Resource Area Impact Significance Thresholds An impact would be significant if it EXCEEDS the following conditions,2026-07-22T17:34:50.050859+00:00,
00b2f4e33f9e91f7ffe1401338859099,finding,would require an eis,ENVIRONMENTAL CONSEQUENCES,"to determine whether the Burns & McDonnell’s Proposed Project could cause significant impacts, which would require the preparation of an Environmental Impact Statement (40 CFR 1508.9), or, whether a Finding of No Significant Impact can be issued for the Burns & McDonnell’s Proposed Proj",2026-07-22T17:34:50.050859+00:00,
00b2f4e33f9e91f7ffe1401338859099,resource,would be significant if,Vegetation,Biomass Energy Center Environment al Consequences 4-2 April 2010 Resource Area Impact Significance Thresholds An impact would be significant if it EXCEEDS the following conditions,2026-07-22T17:34:50.050859+00:00,
01ac073e0424eabf1dcb850ebfb4a3ba,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"ied in the EA meet the definition of significant in context or intensity as described in 40 CFR 1508.27. Therefore, the preparation of an Environmental Impact Statement (EIS) is not required as per Section 102 (2) of the National Environmental Policy Act (NEPA). This finding and conclusi",2026-07-22T17:34:50.050859+00:00,
01ac073e0424eabf1dcb850ebfb4a3ba,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"ied in the EA meet the definition of significant in context or intensity as described in 40 CFR 1508.27. Therefore, the preparation of an Environmental Impact Statement (EIS) is not required as per Section 102 (2) of the National Environmental Policy Act. This finding and conclusion is b",2026-07-22T17:34:50.050859+00:00,
01b5f585f17b9a4b0984bb53d866c805,resource,not to exceed,Wild and Scenic Rivers,tat. Those accessing the communication site and access roads must stay within the designated route and travel at speeds NOT TO EXCEED 10 MPH. Additional Terms and Conditions 5. The lease herein granted shall be subject to all valid rights existing on th,2026-07-22T17:34:50.050859+00:00,
02153c99f26d3c1debdb3ef5754f1320,resource,not to exceed,"US Department of Transportation, Federal Aviation",anaging recreation use. Factor Indicator Standard Inter-party contacts Number of complaints per year received by office Not to exceed 5 complaints per year Evidence of human use Presence of fire rings or campsites No closer than ½-mile apart Not more th,2026-07-22T17:34:50.050859+00:00,
02153c99f26d3c1debdb3ef5754f1320,resource,not to exceed,Recreation,anaging recreation use. Factor Indicator Standard Inter-party contacts Number of complaints per year received by office Not to exceed 5 complaints per year Evidence of human use Presence of fire rings or campsites No closer than ½-mile apart Not more th,2026-07-22T17:34:50.050859+00:00,
035c0025a29a15b19d6958b76a6080ac,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,significant impacts to the environment under the criteria in Title 40 Code of Federal Regulations 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2)(c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
03af947d35640aaf62e9370a48a1ddc1,finding,would require an eis,Finding of No Significant Impact,"onment, within the meaning of the National Environmental Policy Act (NEPA) of 1969, U.S.C. 432 1 et seq. Therefore, the preparation of an Environmental Impact Statement is not required and DOE is issuing this FONSI. COPIES OF THE EA ARE AVAILABLE FROM: Lisa K. Hollingsworth, NEPA Documen",2026-07-22T17:34:50.050859+00:00,
04281f504e3d5d548c7a76a78e9c8bfc,finding,would require an eis,"Bureau of Land Management, Cultural Determination Section 106, 2020",ll not result in significant impacts to the environment under the criteria in Title 40 CFR Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
04281f504e3d5d548c7a76a78e9c8bfc,resource,would require an eis,"Bureau of Land Management, Cultural Determination Section 106, 2020",ll not result in significant impacts to the environment under the criteria in Title 40 CFR Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
04281f504e3d5d548c7a76a78e9c8bfc,resource,would require an eis,Wildlife,"t constitute a major federal action that will significantly affect the quality of the human environment. Therefore, the preparation of an environmental impact statement is not required and the requirements of NEPA have been satisfied. Once NEPA compliance has been satisfied for the Eldor",2026-07-22T17:34:50.050859+00:00,
04c40c5dd7566f8d767164a2c68eec6e,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,significant impacts to the environment under the criteria in Title 40 Code of Federal Regulations 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2)(c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
05f7d35379bfabb93f63792c0ce0b906,finding,would require an eis,Finding of No Significant Impact,"ning of the National Environmental Policy Act (NEPA) of 1969 (42 United States Code [USC] 4321 et seq.). Therefore, the preparation of an environmental impact statement (EIS) is not required and BPA is issuing this Finding of No Significant Impact (FONSI) for the Proposed Action. The Pro",2026-07-22T17:34:50.050859+00:00,
06219a5fb5c36e3af4eb6ed95b99da93,finding,would require an eis,Finding of No Significant Impact,"ning of the National Environmental Policy Act (NEPA) of 1969 (42 United States Code [USC] 4321 et seq.). Therefore, the preparation of an environmental impact statement (EIS) is not required and BPA is issuing this Finding of No Significant Impact (FONSI) for the Proposed Action. The Pro",2026-07-22T17:34:50.050859+00:00,
064ca592292b00766bfac7cddb952a1e,finding,would require an eis,Finding of No Significant Impact,"cting the quality of the human environment, within the meaning of the National Environmental Policy Act. Therefore, the preparation of an Environmental Impact Statement is not required, and DOE is issuing this Finding of No Significant Impact.ISSri/, Colorado, ~ay of ~ifJ 2002. )~: --' """,2026-07-22T17:34:50.050859+00:00,
06ddd514ef25c914c20767e419eb8b1e,resource,not to exceed,"Socioeconomics, Environmental Justice, and Protection of Children","to be able to display and interchange site artifacts at their discretion. The cost for the diorama exhibit is expected not to exceed $100,000. A conceptual and final design will be shared with the city of Piqua and SHPO for review and comment within 6",2026-07-22T17:34:50.050859+00:00,
06ddd514ef25c914c20767e419eb8b1e,condition,not to exceed,Mitigation,"to be able to display and interchange site artifacts at their discretion. The cost for the diorama exhibit is expected not to exceed $100,000. A conceptual and final design will be shared with the city of Piqua and SHPO for review and comment within 6",2026-07-22T17:34:50.050859+00:00,
06ddd514ef25c914c20767e419eb8b1e,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"l action significantly affecting the quality of human health and the environment within the meaning of NEPA. Therefore, preparation of an environmental impact statement (EIS) is not required, and LM is issuing this Finding of No Significant Impact (FONSI). PROPOSED ACTION: The proposed a",2026-07-22T17:34:50.050859+00:00,
0916ab3ffb37cebe823605856e694e3d,finding,would require an eis,Finding of No Significant Impact,"onment within the meaning of the National Environmental Protection Act (NEPA) of 196242 U.S.C. 4321 et. seq. Therefore, preparation of an Environmental Impact Statement is not required and DOE NNSA is issuing this FONSI and Final EA. PUBLIC AVAILABILITY: Copies of this FONSI and EA are a",2026-07-22T17:34:50.050859+00:00,
09b80be2c27ca82475398e613c306478,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"ity of the human environment within the meaning of the National Environmental Policy Act (NEPA) of 1969. Therefore, the preparation of an Environmental Impact Statement (EIS) is not necessary, and DOE is issuing this Finding of No Significant Impact (FONSI). PUBLIC AVAILABILITY OF EA AND",2026-07-22T17:34:50.050859+00:00,
0a816c4ca8078a7ec8d14a00088c48fe,resource,not to exceed,Noise,"age. Runoff from a 130,000-foot Drive Track would need to be collected and either reused or held and released at a rate not to exceed the predevelopment runoff rate. Impacts associated with development activities (e.g., ground disturbance) would be with",2026-07-22T17:34:50.050859+00:00,
0a816c4ca8078a7ec8d14a00088c48fe,finding,would require an eis,Finding of No Significant Impact,"r Federal action that significantly affects the quality of the human environment within the meaning of NEPA. Therefore, preparation of an environmental impact statement (EIS) is not required. ADDRESS: The ORETTC Final EA and this Finding of No Significant Impact (FONSI) have been prepare",2026-07-22T17:34:50.050859+00:00,
0b200fc79f40b755fbb0818f7b7ce843,resource,not to exceed,Dos Cabezas Wildlife Water Catchment,intenance would include surface grading and leveling using a front-end loader within the existing footprint of the road not to exceed approximately 2 inches in depth. Redevelopment of the proposed Dos Cabezas wildlife water catchment would be the respon,2026-07-22T17:34:50.050859+00:00,
0b200fc79f40b755fbb0818f7b7ce843,resource,not to exceed,Dos Cabezas Wildlife Water Catchment,intenance would include surface grading and leveling using a front-end loader within the existing footprint of the road not to exceed approximately 2 inches in depth. Redevelopment of the proposed Dos Cabezas wildlife water catchment would be the respon,2026-07-22T17:34:50.050859+00:00,
0b5d77cbc60c67c4be589f6d2f8d9f27,resource,no new access road,RECREATION,"d Action would not modify the ROS classification in the area and would be in compliance with ROS management objectives. No new access roads would be constructed; however, maintenance to existing access roads may occur, as necessary. While no initial vegetati",2026-07-22T17:34:50.050859+00:00,
0b5d77cbc60c67c4be589f6d2f8d9f27,resource,within existing right-of-way,RECREATION,"k, and Mazatzal Wilderness Areas are also located within the Project area. Only the West Clear Creek Wilderness Area is within the existing right-of-way; but as noted above, is located in an area where Project facilities span at such a height that vegetation will not inte",2026-07-22T17:34:50.050859+00:00,
0b5d77cbc60c67c4be589f6d2f8d9f27,finding,no new access road,Environmental Consequences,"d Action would not modify the ROS classification in the area and would be in compliance with ROS management objectives. No new access roads would be constructed; however, maintenance to existing access roads may occur, as necessary. While no initial vegetati",2026-07-22T17:34:50.050859+00:00,
0b5d77cbc60c67c4be589f6d2f8d9f27,finding,would require an eis,Finding of No Significant Impact,"servation measures, the project (Proposed Action) would not result in any significant environmental impacts. Therefore, preparation of an environmental impact statement (EIS) will not be required. The basis for this determination is described in this FONSI. \ Additional information and c",2026-07-22T17:34:50.050859+00:00,
0b5d77cbc60c67c4be589f6d2f8d9f27,resource,no new access road,Recreation,"eation Opportunity Spectrum (ROS) classification in the area and would be in compliance with ROS management objectives. No new access roads would be constructed; however, maintenance to existing access roads may occur, as necessary. Western has determined th",2026-07-22T17:34:50.050859+00:00,
0bdb6992a5a2b41c173852a222e030da,resource,not to exceed,Environmental Impacts,"d response as Alternative B; however, the utilization threshold requirement would be reduced to 30%. Forage utilization not to exceed 30%, a 3-pasture rest rotation system, the lowest stocking rate of any of the action alternatives, combined with a 1 mo",2026-07-22T17:34:50.050859+00:00,
0bdb6992a5a2b41c173852a222e030da,resource,not to exceed,Wildlife,"orrective actions (responses) being implemented. As previously stated under vegetation, the expected utilization rates (not to exceed 33% across all three pastures) expected under Alternative B >672 AUMs applied for, would result in vegetation use level",2026-07-22T17:34:50.050859+00:00,
0bdb6992a5a2b41c173852a222e030da,resource,not to exceed,Environmental Impacts,"orrective actions (responses) being implemented. As previously stated under vegetation, the expected utilization rates (not to exceed 33% across all three pastures) expected under Alternative B >672 AUMs applied for, would result in vegetation use level",2026-07-22T17:34:50.050859+00:00,
0be11e05f621afa0643b7ef5983f72bb,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"ing the quality of the human environment as defined by the National Environmental Policy Act (NEPA) of 1969. Therefore, preparation of an Environmental Impact Statement is not required and DOE i s issuing this FONSI. COPIES OF THE EA ARE AVAILABLE FROM: Ms. Janice L. Murphy Pittsburgh En",2026-07-22T17:34:50.050859+00:00,
0c1d0c8a645d0fd1682ff62f52a0d1f1,finding,would require an eis,Finding of No Significant Impact,"ning of the National Environmental Policy Act (NEPA) of 1969 (42 United States Code [USC] 4321 et seq.). Therefore, the preparation of an environmental impact statement (EIS) is not required and BPA is issuing this Finding of No Significant Impact (FONSI) for the Proposed Action. The Pro",2026-07-22T17:34:50.050859+00:00,
0c5a4b030dd32df0f3c4fbff0251c30a,finding,would require an eis,Finding of No Significant Impact,"ity of the human environment within the meaning of the National Environmental Policy Act (NEPA) of 1969. Therefore, the preparation of an environmental impact statement (EIS) is not required and DOE is issuing this finding of no significant impact (FONSI). Public Availability: Copies of",2026-07-22T17:34:50.050859+00:00,
0c5a4b030dd32df0f3c4fbff0251c30a,finding,would require an eis,Finding of No Significant Impact,"ity of the human environment within the meaning of the National Environmental Policy Act (NEPA) of 1969. Therefore, the preparation of an environmental impact statement (EIS) is not required and DOE is issuing this finding of no significant impact (FONSI). Public Availability: Copies of",2026-07-22T17:34:50.050859+00:00,
0dfd264117dc84d91520d99391c39e39,resource,would require an eis,Visual Resource Management,") would be issued and the proposed land exchange could proceed. If the BLM determines significant impacts would result, preparation of an environmental impact statement would be required or the proposed land exchange would be modified to avoid significant impacts. The BLM prepared a feas",2026-07-22T17:34:50.050859+00:00,
0dfd264117dc84d91520d99391c39e39,resource,would require an eis,Visual Resource Management,") would be issued and the proposed land exchange could proceed. If the BLM determines significant impacts would result, preparation of an environmental impact statement would be required or the proposed land exchange would be modified to avoid significant impacts. The BLM prepared a feas",2026-07-22T17:34:50.050859+00:00,
0e60810227dc9a777e5ea0f8ec0fbdb1,resource,would be significant if,Land Use,"ntal Analysis Approach Table 3.2. Impact Significance Thresholds Resource Area Impact Significance Thresholds An impact would be significant if it EXCEEDS the following conditions. Parks and Recreation Any disturbance would be minor, temporary in duration, and in",2026-07-22T17:34:50.050859+00:00,
0f5e39f3189d97d0475655267d0e1d92,finding,would require an eis,Finding of No Significant Impact,"g of the National Environmental Policy Act (NEPA) as amended (42 United States Code [USC] 4321 et seq.). Therefore, the preparation of an environmental impact statement (EIS) is not required and BPA is issuing this Finding of No Significant Impact (FONSI) for the Proposed Action. The Pro",2026-07-22T17:34:50.050859+00:00,
0f8d108233812c69f97db445f0c97a36,finding,not to exceed,FINDING OF NO SIGNIFICANT IMPACT,". The Forest Service, by written modification may extend the performance period of this instrument for a total duration not to exceed 5 years from its original date of execution. 3. TERMINATION – INTERAGENCY AGREEMENTS. This IA may be terminated upon 90",2026-07-22T17:34:50.050859+00:00,
110192aee7d0dea75540c1eaafdddc17,finding,would require an eis,Finding of No Significant Impact,"ether the Proposed Action would result in significant impacts to the environment. Significant impacts would require the preparation of an Environmental Impact Statement (EIS). If the BLM Authorized Officer determines that no significant impacts would occur, a Finding of No Significant Im",2026-07-22T17:34:50.050859+00:00,
110192aee7d0dea75540c1eaafdddc17,finding,would require an eis,Finding of No Significant Impact,"ether the Proposed Action would result in significant impacts to the environment. Significant impacts would require the preparation of an Environmental Impact Statement (EIS). If the BLM Authorized Officer determines that no significant impacts would occur, a Finding of No Significant Im",2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,no new access road,Land Use,re drive and crush methods will be used to the extent feasible. All work will occur within the existing road footprint. No new access roads will be created. No new permanent access roads or transmission infrastructure are proposed that would act as a physica,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,no new access road,Socioeconomics,"s roads or permanent impacts. No major repairs, including installation of new structures such as culverts, would occur. No new access roads are proposed within the LVRAS Project area. No overland travel is expected for the Project, except where designated wo",2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,no new access road,Land Use,re drive and crush methods will be used to the extent feasible. All work will occur within the existing road footprint. No new access roads will be created. No new permanent access roads or transmission infrastructure are proposed that would act as a physica,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,no new access road,Socioeconomics,"s roads or permanent impacts. No major repairs, including installation of new structures such as culverts, would occur. No new access roads are proposed within the LVRAS Project area. No overland travel is expected for the Project, except where designated wo",2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,ction will not result in significant impacts to the environment under the criteria in Title 40 CFR 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,finding,would require an eis,"Bureau of Land Management, Cultural Determination Section 106, December 2022",cant impacts to the environment under the criteria in Title 40 Code of Federal Regulations Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,would require an eis,"Bureau of Land Management, Cultural Determination Section 106, December 2022",cant impacts to the environment under the criteria in Title 40 Code of Federal Regulations Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,cant impacts to the environment under the criteria in Title 40 Code of Federal Regulations Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
11722075b65ec8fe146b527d580cee02,resource,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,cant impacts to the environment under the criteria in Title 40 Code of Federal Regulations Section 1508.18 and 1508.27. Preparation of an Environmental Impact Statement to further analyze possible impacts is not required pursuant to Section 102(2) (c) of the National Environmental Policy,2026-07-22T17:34:50.050859+00:00,
122ad6478673dd87a8ce38dd48df2481,finding,would require an eis,Finding of No Significant Impact,"d to the context and the intensity of impacts analyzed in the EA. Accordingly, the Proposed Action does not require the preparation of an environmental impact statement",2026-07-22T17:34:50.050859+00:00,
12b1493d2b42e7a17a23253247889f0b,resource,not to exceed,Affected Environment,"FWF opened on June 6, 2013, with a licensed capacity of up to 26 million cubic feet and 5.6 million curies total. It is not to exceed 8.1 million cubic feet and 5.5 million curies of containerized Class A, Class B, and Class C LLW in disposal capacity t",2026-07-22T17:34:50.050859+00:00,
12b1493d2b42e7a17a23253247889f0b,resource,not to exceed,Commercial Offsite LLW / MLLW Disposal Sites,"FWF opened on June 6, 2013, with a licensed capacity of up to 26 million cubic feet and 5.6 million curies total. It is not to exceed 8.1 million cubic feet and 5.5 million curies of containerized Class A, Class B, and Class C LLW in disposal capacity t",2026-07-22T17:34:50.050859+00:00,
12b1493d2b42e7a17a23253247889f0b,finding,would require an eis,Finding of No Significant Impact,"federal action significantly affecting the quality of the human environment within the meaning of NEPA. Therefore, the preparation of an environmental impact statement is not required, and DOE is issuing this Finding of No Significant Impact (FONSI). In a separate process, DOE prepared",2026-07-22T17:34:50.050859+00:00,
132d259278d0c6caa05e78b7dc4ad512,resource,no new access road,Air Quality,ntained across all ROW and access roads on hillsides to prevent water erosion and to facilitate natural revegetation. • No new access roads would be required.,2026-07-22T17:34:50.050859+00:00,
133b2860570757de4cbcb89a1f506ba3,finding,would require an eis,Finding of No Significant Impact,dry Notice for Hydraulic Fracturing and right-of-way be approved as described in the applicant's Plan of Operations.The preparation of an Environmental Impact Statement is not recommended. Applications for Permits to Drill will be approved under the authority of 43 Code of Federal Regula,2026-07-22T17:34:50.050859+00:00,
1408db69d21ae64eb39fc7cbae8ae48a,resource,extraordinary circumstance,Vegetation,"ring early spring snowmelt. IDEQ water quality standards for intermittent waterbodys would rarely apply here, except in extraordinary circumstances (e. g. rain-on-snow event, or localized major cloudburst episode). The conditions as described for Sheep Gulch would be",2026-07-22T17:34:50.050859+00:00,
1432516ce108745b9158109643a0fa91,finding,would require an eis,Finding of No Significant Impact,"ity of the human environment within the meaning of the National Environmental Policy Act (NEPA) of 1969. Therefore, the preparation of an environmental impact statement @IS) is not required, and DOE is issuing this Finding of No Significant Impact (FONSI). Public Availability: Copies of",2026-07-22T17:34:50.050859+00:00,
14ade8f08678153e850161921b3b6063,finding,would require an eis,Finding of No Significant Impact,"ning of the National Environmental Policy Act (NEPA) of 1969 (42 United States Code [USC] 4321 et seq.). Therefore, the preparation of an environmental impact statement (EIS) is not required and BPA is issuing this Finding of No Significant Impact (FONSI) for the Proposed Action. The Pro",2026-07-22T17:34:50.050859+00:00,
14ba05f7bb6e7af8060171a5ff5c63ce,finding,not to exceed,Decision,"ve space for BLM operations to support BLM Internship Programs (individual intern [maximum 3] accommodation for periods not to exceed one year). Renovate and maintain, as necessary, to serve purpose. Prioritize the connection to the municipal sewer syst",2026-07-22T17:34:50.050859+00:00,
14ba05f7bb6e7af8060171a5ff5c63ce,finding,not to exceed,Decision,"to navigation. Allow public visitation, including access to the watch room and gallery deck, at an appropriate capacity not to exceed 35 individuals within the lighthouse at a time. Public visitation shall occur only in association Asset",2026-07-22T17:34:50.050859+00:00,
1530cee83cda8907736eb9bf9776a45f,finding,would require an eis,Finding of No Significant Impact,hat the land use application be approved through a Right-of-Way as described in the applicant's Plan of Operations. The preparation of an Environmental Impact Statement is not recommended. The Right-of-Way will be approved under the authority of 43 Code of Federal Regulations Part 43 280,2026-07-22T17:34:50.050859+00:00,
15c76d798916d79753b34984e6f19179,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"ty of the human environment within the meaning of the National Environmental Policy Act of 1969 (NEP A). Therefore, the preparation of an Environmental Impact Statement is not required, and the Department is issuing this Finding of No Significant Impact (FONSI). PUBLIC AVAILABILITY: Sing",2026-07-22T17:34:50.050859+00:00,
15c76d798916d79753b34984e6f19179,finding,would require an eis,Environmental Impacts,"action that would significantly affect the quality of the human environment within the meaning ofNEP A. Therefore, the preparation of an Environmental Impact Statement is not required. Issue in Washington, D.C. the thirtieth day of August 2002 Office of Nuclear Energy, Science Trw;rOgy",2026-07-22T17:34:50.050859+00:00,
16215b22fe3740aeba18b340a3d9899b,finding,would require an eis,Finding of No Significant Impact,Drill (APD) and associated permits and right of way be approved as described in the applicant's Plan of Operations. The preparation of an Environmental Impact Statement is not recommended. Applications for Permits to Drill will be approved under the authority of 43 Code of Federal Regula,2026-07-22T17:34:50.050859+00:00,
