"example_id","suggested_class","example_role","pattern_status","pattern_family","project_id","project_title","lead_agency","document_title","page_number","snippet","notes"
"funding_011","federal_funding","positive","include","formula_awards_alrd","41221171-9f91-03e3-9a76-e3c449007915","State Energy Program Program Year 2023 Formula Awards Administrative and Legal Requirements Document ALRD","Department of Energy","NEPA Determination","1-6","Under the SEP Formula Awards as outlined in the Administrative Legal Requirements Document (ALRD) Program Year 2023, DOE would provide funds in formula-based awards to all 50 States, Territories, and the District of Columbia.","Best example for formula-award and ALRD language."
"funding_012","federal_funding","positive","include","loan_guarantee","09c2857013129ed1614629864a681572","Vogtle Electric Generating Plant Units 3 and 4 Burke County Georgia","Department of Energy","Final Environmental Impact Statement for the Proposed Vogtle Electric Generating Plant Units 3 and 4 Burke County Georgia","Page-2","The U.S. Department of Energy (DOE) is proposing to issue a loan guarantee to several applicants to support funding for construction and start-up of the Vogtle Electric Generating Plant.","Project-description style loan-guarantee example."
"funding_013","unknown","hard_negative","holdout","arra_checkbox_only","445a359b-b00d-f375-2e97-44953a83665b","Energy efficiency lighting and plumbing retrofits for several City facilities","Department of Energy","Categorical Exclusion Determination Form","1-1","American Recovery and Reinvestment Act: [x].","Template or checkbox language only; do not treat as sufficient funding evidence."
"funding_014","","boundary","holdout","foa_boundary","97fca3873618664c1ca208c1874ebff7","DOE Funding of the Construction and Operation of the Facility for Rare Isotope Beams","Department of Energy","ENVIRONMENTAL ASSESSMENT FOR DOE FUNDING OF THE CONSTRUCTION AND OPERATION OF THE FACILITY FOR RARE ISOTOPE BEAMS MICHIGAN STATE UNIVERSITY EAST LANSING MICHIGAN","Page-3","DOE published a funding opportunity announcement seeking applications, but DOE's proposed action under NEPA is also the design, construction, and operation of the facility.","Good boundary example between funding and direct federal action."
"action_001","federal_action","positive","include","doe_construct_operate_facility","55785ab38769051f617b47da1931e34f","Renewable Fuel Heat Plant Improvements","Department of Energy","RENEWABLE FUEL HEAT PLANT IMPROVEMENTS SUPPLEMENTAL ENVIRONMENTAL ASSESSMENT","Page-7","Specifically, the DOE proposes to develop, construct and operate a woodchip fuel storage silo at the National Renewable Energy Laboratory’s (NREL) South Table Mountain (STM) site in Golden, Colorado.","Clean DOE-led facility development, construction, and operation language."
"action_002","federal_action","positive","include","ownership_transition_site_operation","b2ffb3e9-e6d5-f6db-9eb7-fc6d2c155976","NREL-23-005 STEP Operations - Golden, CO","Department of Energy","U.S. Department of Energy Office of Energy Efficiency and Renewable Energy NEPA Determination","1-5","Now that DOE has acquired ownership of the parcel, DOE proposes to operate and maintain the site.","Best narrow example for a current federal action after a prior completed land exchange; pairs well with the existing property-transaction exclusion."
"action_003","federal_action","positive","include","occupy_maintain_refurbish_facilities","e2b118a3c04f23e5447082f2373a91b7","Pacific Northwest National Laboratory Richland Campus Future Development","Department of Energy","Final Environmental Assessment for Pacific Northwest National Laboratory Richland Campus Future Development","Page-3","PNNL would continue to occupy and maintain existing facilities, and would refurbish existing facilities if reasonable and economical.","Useful campus-development example for occupy-maintain-refurbish language without a permit or land-authorization frame."
"action_004","federal_action","positive","include","functional_replacement_facility","631d8c77-2624-6496-1450-e01afb56444d","Vancouver Control Center Project at the Ross Complex","Department of Energy","Categorical Exclusion Determination","1-9","The new VCC building would functionally replace the existing Dittmer Control Center and other business function office spaces, increasing BPA's ability to modernize its control center systems, and consolidate BPA workgroups in a more efficient, purpose-built space.","Best exact functional-replacement and modernization example."
"action_005","federal_action","positive","include","relocate_update_renovate_complex","02f2765d-9c10-48e4-7b7f-1e9069a98651","Ross Complex Laboratories and Garage Upgrade Projects","Department of Energy","Categorical Exclusion Determination","1-8","The Bonneville Power Administration (BPA) proposes to relocate the calibration, metrology, and chemistry laboratories from the aging South Ampere Building (Z-991), into a new, consolidated Calibration-Chemistry Laboratory, to increase worker safety, modernize assets, and combine workspaces to increase efficiency.","Good federal-complex example for relocate plus modernization language."
"action_006","federal_action","positive","include","replace_improve_preserve_facilities","af949be81c2c3d1539216fed281f94f3","Olmsted Hydroelectric Power Plant Replacement Project","Department of the Interior","FINDING OF NO SIGNIFICANT IMPACT Olmsted Hydroelectric Power Plant Replacement Project","Page-3","Constructing a new powerhouse as a replacement of the existing powerhouse, including a smaller power generation unit for flows that are less than powerhouse minimum flow limitations","Good bullet-list example where the federal action is framed as a package of construction and replacement activities."
"action_007","federal_action","positive","include","reclamation_replace_infrastructure","caa3f607609852e98485ad3938e7fe15","Grand Coulee's Third Powerplant 500-kilovolt Transmission Line Replacement Project","Bureau of Reclamation","Grand Coulee's Third Powerplant 500-kilovolt Transmission Line Replacement Project Preliminary Environmental Assessment","Page-2","Reclamation is proposing to replace the six, 500- kV transmission lines of the Third Powerplant (TPP) at Grand Coulee Dam.","Clean Bureau of Reclamation replacement-action sentence."
"action_008","federal_action","positive","include","agency_implements_system","d2bb79006a98642a539dee456caccc68","Integrated Fixed Towers (IFT) in the U.S. Border Patrol’s (USBP) Douglas Station Area of Responsibility (AOR), Tucson Sector, Arizona","U.S. Customs and Border Protection","ENVIRONMENTAL ASSESSMENT FOR INTEGRATED FIXED TOWERS IN THE U.S. BORDER PATROL’S DOUGLAS STATION AREA OF RESPONSIBILITY TUCSON SECTOR, ARIZONA","3","U.S. Customs and Border Protection (CBP) proposes to implement an IFT system in the USBP’s Douglas Station AOR.","Best non-DOE example for agency-as-actor implementation language."
"action_009","federal_action","positive","include","blm_constructs_recreation_facility","3bc31bd9fbd94db5428a7a0c8ef286ab","Blackwell Island Recreation Site Development","Bureau of Land Management","Decision Record and Finding of No Significant Impacts: Blackwell Island Recreation Site Development","29","The BLM proposes to construct a recreational boat launching facility.","Simple BLM-led construction example not framed as a permit or ROW decision."
"action_010","federal_action","positive","include","western_builds_project","34578fbdd9a7b734bd8f6e7ea1b27e61","Colusa-Sutter 500-Kilovolt Transmission Line Project, Colusa, Sutter, Yolo and Sacramento Counties, California","Power Marketing Administration","project_description metadata","project_description","Western would build the Project as allowed by law pursuant to the Acts of Congress approved June 17, 1902 (32 Stat. 388); August 26, 1937 (50 Stat. 844, 850); August 4, 1939 (53 Stat. 1187); and August 4, 1977 (91 Stat. 565); as supplemented and amended.","The exact sentence is available in the corpus text, but documents_combined lacks a main EIS text row for this project_id, so this row records the exact project_description snippet."
"action_011","federal_action","positive","include","upgrade_by_removing_and_installing","1c20864d3da03b2151e23487fc6bc9dd","Beaver Creek-Hoyt-Erie Transmission Line Rebuild Project","Power Marketing Administration","Environmental Assessment Beaver Creek-Hoyt-Erie Transmission Line Rebuild Project","Page-11","Western proposes to upgrade the existing transmission lines by removing the existing 115-kV H-frame structures, conductors and hardware and installing a double circuit 230-kV transmission line on single pole steel structures.","Best exact upgrade-by-removing-and-installing transmission example."
"action_012","federal_action","positive","include","rebuild_existing_line_remove_danger_trees","87624047086aac92d0f6cc1e1d3b0c1b","Bandon-Rogue Transmission Line Rebuild Project","Power Marketing Administration","Bandon-Rogue Transmission Line Rebuild Project Final Environmental Assessment and Finding of No Significant Impact","Page-6","The Proposed Action is to rebuild the existing 115-kV transmission line in the existing right-of- way, conduct work on some unpaved access roads, and remove some danger trees.","Useful rebuild-action example; the operative cue is rebuild and remove, not the generic phrase 'Proposed Action'."
"action_013","federal_action","positive","include","reconductor_and_replace_structures","132d259278d0c6caa05e78b7dc4ad512","Dave Johnston Tap to Sidney Substation Transmission Line Reconductor Project","Power Marketing Administration","Dave Johnston Tap to Sidney Substation Transmission Line Reconductor Project Environmental Assessment DOE/EA-2149","Page-9","WAPA’s “Proposed Action” would be to reconductor the 210-mile-long DJT-SD 115-kV transmission line and replace approximately 30 failing structures “in-kind”.","Best reconductor example; the useful cue is reconductor plus replace structures, not the phrase 'Proposed Action' by itself."
"action_014","federal_action","positive","include","upgrade_telecommunications_system","b6695df8b2124a867581ea72418be63f","BPA's Hot Springs - Garrison Fiber Optic Project","Power Marketing Administration","Final Environmental Assessment BPA's Hot Springs - Garrison Fiber Optic Project","Page-15","BPA proposes to upgrade the operational telecommunications system between the Hot Springs Substation and Garrison Substation by installing a fiber optic system.","Best exact telecommunications-upgrade example."
"action_015","federal_action","positive","include","install_disconnect_switches","3c5dc37f-f1c7-4812-0089-a7209b36cef9","Buckley Substation Disconnect Switch Additions","Department of Energy","Categorical Exclusion Determination","1-6","Bonneville Power Administration (BPA) proposes to install three new motor operated disconnect switches, a new bus configuration, and relaying equipment at BPA's existing Buckley Substation in Sherman County, Oregon.","Good substation-modernization example with install language."
"action_016","federal_action","positive","include","replace_upgrade_radio_antennas","04e886be-e1c9-face-45bb-1c0077727683","Ashe and White Bluffs Radio Antenna Replacements","Department of Energy","Categorical Exclusion Determination","1-5","Bonneville Power Administration (BPA) proposes to replace and upgrade the existing Ultra-High Frequency (UHF) radio antennas on the radio towers located at the White Bluffs Substation and Ashe Substation.","Best exact replace-and-upgrade equipment example."
"action_017","federal_action","positive","include","replace_roof_drainage_system","c1b3c6d5-7e92-163c-c032-5759941b28c4","Roof Drainage System Replacement at Chehalis Untanking Tower","Department of Energy","Categorical Exclusion Determination","1-6","Bonneville Power Administration (BPA) proposes to replace portions of the roof drainage system at BPA's untanking tower located at the Chehalis Substation.","Good facility-repair example that is still clearly a direct federal action."
"action_018","federal_action","positive","include","remove_and_replace_fittings","f8b223b8-3d46-b639-ba67-9a4c2d123dc3","Ashe – Marion No. 2 Urgent Fitting Replacements","Department of Energy","Categorical Exclusion Determination","1-7","Bonneville Power Administration (BPA) proposes to remove and replace certain fittings used to splice lengths of transmission line conductor together on two transmission lines (Ashe-Marion No. 2 and Buckley-Marion No. 1) in the same corridor in Oregon.","Best exact remove-and-replace equipment example."
"action_019","federal_action","positive","include","upgrade_lighting_systems","c1f3a20a-12be-b627-55d5-375fe9d8e50a","Lighting Replacements in Test Reactor Area (TRA)-653 (Weld Shop) and TRA-662 (Warehouse)","Department of Energy","DOE-ID NEPA CX DETERMINATION","1-2","In order to lower energy use, the proposed action would upgrade the lighting in the TRA-653 Weld Shop and the TRA-662 warehouse and machine shop with new lighting systems.","Useful facility-upgrade example where the action verb is upgrade, not funding or permitting."
"land_001","federal_land","positive","include","special_use_defined_row","8a1ff4621f3b80f0a5c2be15f3649717","Estes to Flatiron Transmission Lines Rebuild Project","Power Marketing Administration","Estes to Flatiron Transmission Lines Rebuild Project, Larimer County, Colorado, Final Environmental Impact Statement","11","The USFS purpose and need is to determine whether to issue a special use permit for the proposed transmission lines upgrade and rebuild. In conjunction with the issuance, the USFS would bring Western's facilities under a current authorization with a defined ROW and an Operation and Maintenance Plan.","Strong land-access example built around special use permit plus defined ROW language."
"land_002","federal_land","positive","include","perpetual_row_expired_easement","74d906df-095c-24b1-3055-8b96bcdcc5b8","Wautoma-Rock Creek Perpetual Right-of-Way Grant Acquisition","Department of Energy","Categorical Exclusion Determination","1-4","BPA proposes to acquire a perpetual right-of-way grant for BPA's existing Wautoma-Rock Creek transmission line. Originally BPA had acquired a 50-year easement for the right-of-way. However, the easement has expired and the Bureau of Land Management now owns the parcel.","Best example for perpetual ROW grant plus expired easement language."
"land_003","federal_land","positive","include","row_grant_blm_admin_lands","e70ea3ad859fdd76343713d64a9dd087","Pinyon Solar Project","Bureau of Land Management","Pinyon Solar Project EA","","The applicant has requested a 30-year right-of-way grant to construct, operate, maintain, and decommission a utility-scale solar energy generating facility and battery energy storage system on BLM-administered lands.","Project-description example for the exact BLM-administered lands wording."
"land_004","federal_land","positive","include","row_renewal_applications","8f4a7e43-df3f-ebf4-f389-1f08eab81266","Oatman Area Right-of-Way Renewals","Bureau of Land Management","Categorical Exclusion Documentation","1-7","Analyze the impact of five separate right-of-way renewal applications for aerial and buried telephone lines and power distribution lines near Oatman, Arizona.","Clean exact phrasing for right-of-way renewal applications."
"land_005","federal_land","positive","include","row_renewal_amendment","463fc6290bb3338a701b5bb830892451","Idaho Power Deer Flat-Gem Junction Right-of-Way Renewal and Amendment","Bureau of Land Management","Environmental Assessment: Idaho Power Deer Flat-Gem Junction Right-of-Way Renewal and Amendment","1","Idaho Power Deer Flat-Gem Junction Right-of-Way Renewal and Amendment for BLM Serial #: IDI-013193.","Clean title-page example for renewal and amendment wording."
"land_006","federal_land","positive","include","temporary_permanent_easements","ef743b21e0664f8b3be7597fd8e085dd","CV Link BLM Easement Project","Bureau of Land Management","CV Link Project Environmental Assessment","2","The BLM will decide whether to approve the applicant's request for temporary and permanent easements to construct, operate, and maintain the portion of the CV Link corridor within the BLM boundaries.","Best easement example grounded in exact temporary and permanent easement wording."
"land_007","federal_land","positive","include","flpma_public_land_row","6e9fc6608e30977c74305d2a98628a13","Coldfoot Cell Tower","Bureau of Land Management","EA_PDF.pdf","2","The need for action is established by the Bureau of Land Management's responsibility under Title V of the Federal Land Policy and Management Act to respond to requests for rights-of-way across public lands.","Best FLPMA rights-of-way across public lands example."
"land_008","federal_land","positive","include","public_land_administered_blm","c2ec7e30051998e27a6aee8909f71abc","Manzanar Water Well","Bureau of Land Management","Environmental Assessment Manzanar Water Well Right-of-Way CACA 059517 (DOI-BLM-CAC-070-2022-0004-EA)","1","The project includes a right-of-way (ROW) that would authorize the installation of a replacement water well on public land administered by the Bureau of Land Management (BLM).","Useful exact public-land-administered-by-BLM context."
"land_009","federal_land","positive","include","public_land_managed_blm","63225337fc9b44b60d46a75ee5a81e13","Coffey Dam Breach and Pipeline Right-of-Way","Bureau of Land Management","Environmental Assessment for Coffey Dam Breach and Pipeline Right-of-Way","1","BLM must respond to the applicant's request for a right-of-way to construct, operate and maintain a system of irrigation pipelines on public land managed by BLM.","Best exact public-land-managed-by-BLM plus ROW-request example."
"land_010","federal_land","positive","include","bia_new_row","667ba0eb-f6ef-1e89-d437-06b085ff2d8e","Propose 12.5kV Overhead Distribution Line Right-of-Way (ROW)","Bureau of Land Management","NATIONAL ENVIRONMENTAL POLICY ACT (NEPA) COMPLIANCE RECORD FOR CATEGORICAL EXCLUSIONS (CX)","1-4","The Bureau of Indian Affairs is requesting a new right-of-way (ROW) for an existing 12.5kV overhead distribution line.","Best exact Bureau of Indian Affairs ROW-request example."
"land_011","federal_land","positive","include","amend_existing_authorization","42dd871e6bc265b7125a75018f1c9d02","ComSites West LLC, Request to Amend Existing Authorization","Bureau of Land Management","Environmental Assessment: ComSites West LLC, Request to Amend Existing Authorization","1","ComSites West, LLC requested to amend their existing authorized communication site to expand an area outside the existing authorization boundary.","Best exact example for amend existing authorization wording."
"land_012","federal_land","positive","include","amend_row_grant","fd1d52a7-1c86-4ab7-1920-c1e707eec9a2","Mead-Victorville Transmission Line Tower 11-4 Tower Revetment Project","Bureau of Land Management","Categorical Exclusion Documentation","1-23","The action proposed by the LADWP is to amend its ROW grant for the installation of riprap at one tower site on public lands managed by the Bureau of Land Management (BLM).","Exact amend-its-ROW-grant language."
"land_013","federal_land","positive","include","bor_permissions","150940c1-d5ae-1fd5-d0cb-4dbc009a7a86","EPE Leasburg Line Maintenance Request","Bureau of Reclamation","CATEGORICAL EXCLUSION REVIEW/DECISION","1-2","These temporary work areas are under lands administered by the Bureau of Reclamation (BOR) and permissions must be sought from them.","Best exact Bureau of Reclamation land-control phrase."
"land_014","federal_land","positive","include","perpetual_row_blm_public_land","544f5e949d5e647c9c54b9363bf85321","Salmon Field Office Fire Station/Cache","Bureau of Land Management","Salmon Field Office Fire Station/Cache Environmental Assessment","3","The BLM's purpose is to decide whether to grant a perpetual ROW on BLM managed public land.","Best exact perpetual ROW on BLM managed public land wording."
"land_015","federal_land","positive","include","land_use_2920","43c74edf545761e26bfca27e9ac1d6e9","Off Road Warriors","Bureau of Land Management","0016_DECISION_ORW_06052014_508.pdf","1","If permitted a 2920 Land Use Authorization would be granted for commercial filming on public lands.","Exact 2920 Land Use Authorization example."
"land_016","federal_land","positive","include","row_grant_application","c87a153c-f0c6-bd71-17e1-7e01ea9816a5","Geotechnical Investigation for the Southline Transmission Line Project approved on August 22, 2016","Department of the Interior - Bureau of Land Management","NEPA COMPLIANCE RECORD Categorical Exclusion (CX)","1-6","On May 1, 2018, Southline Transmission, LLC, submitted an application for a right-of-way grant (Serial Number AZA03568101) from the Bureau of Land Management (BLM) for geotechnical investigation along the new build section of the Southline 345 kilovolt (kV) Transmission Line Project.","Best exact application-for-a-right-of-way-grant example."
"permit_001","federal_permit","positive","include","army_standard_individual_permit_application","d8ce951d6f48a7914a867e2ee6f6fa88","New England Clean Energy Connect (NECEC) Project","Corps of Engineers--Civil Works","","","Department of the Army Environmental Assessment and Statement of Findings for the Above-Referenced Standard Individual Permit Application.","Best exact title-level standard individual permit application example."
"permit_002","federal_permit","positive","include","army_permit_application_title","832fe5bba8a78587e07e8630ee3acebe","Havasu Riviera State Park","Corps of Engineers--Civil Works","Department of the Army Environmental Assessment and Statement of Finding for Above-Numbered Permit Application SPL-2017-00165-WHM","1","Department of the Army Environmental Assessment and Statement of Finding for Above-Numbered Permit Application SPL-2017-00165-WHM.","Clean Corps permit-application title example."
"permit_003","federal_permit","positive","include","section404_permit_application","6508797170b6c85b54e77bf89cf18fb7","ASARCO’s Ray Mine Tailings Storage Facility","Corps of Engineers--Civil Works","ASARCO’s Ray Mine Tailings Storage Facility Project Environmental Impact Statement","2","In March 2013, ASARCO LLC (ASARCO) submitted a Section 404 permit application to the U.S. Army Corps of Engineers (USACE) for the construction and operation of a 2,500-acre new Tailings Storage Facility (TSF) that would receive tailings generated at the Ray Mine, an existing open pit copper mine.","Best exact Section 404 permit application example."
"permit_004","federal_permit","positive","include","individual_permit_under_section404","c73d963be3350785350012bb19222490","Golden Summit Project","Bureau of Land Management","ENVIRONMENTAL ASSESSMENT Golden Summit Project, Plan of Operations","6","The applicant has applied for an individual permit under Section 404 of the Clean Water Act, and additional environmental analysis on wetland impacts is being undertaken by the US Army Corps of Engineers.","Best exact individual-permit-under-Section-404 example."
"permit_005","federal_permit","positive","include","esp_plus_usace_404_10","56f87d34b0a565f24bcdb727fba09c18","Early Site Permit for the PSEG Site","Nuclear Regulatory Commission","","","The proposed actions related to the PSEG application are (1) the NRC issuance of an ESP for the PSEG Site and (2) the USACE issuance of a permit pursuant to Section 404 of the Federal Water Pollution Control Act [Clean Water Act (CWA)] and Section 10 of the Rivers and Harbors Appropriation Act of 1899, as amended, to perform certain dredge and fill activities on the site.","Best exact NRC-plus-USACE permit bundle example."
"permit_006","federal_permit","positive","include","combined_license_plus_da_permit","d82f9e7b0152a0131fec5eeba275b662","Combined License for the Bell Bend Nuclear Power Plant","Nuclear Regulatory Commission","Final Environmental Impact Statement for the Combined License for the Bell Bend Nuclear Power Plant","","PPL initiated the proposed Federal action by submitting an application for BBNPP to the NRC. The NRC’s Federal action is issuance of COL for the AREVA U.S. EPR reactor at the BBNPP site near Berwick, Pennsylvania. The USACE is a cooperating agency in preparation of this EIS. The USACE’s Federal action is its decision of whether to issue, deny, or issue with modifications a Department of Army (DA) permit pursuant to Section 404 of the Clean Water Act and Section 10 of the Rivers and Harbors Act of 1899 to authorize certain construction activities potentially affecting waters of the United States.","Best exact combined-license plus Department of Army permit example."
"permit_007","federal_permit","positive","include","combined_licenses_plus_da_permit","fc14aeff0b172df0db92cc2a864bb442","Combined Licenses for Turkey Point Nuclear Plant Units 6 and 7","Nuclear Regulatory Commission","","","FPL initiated the proposed Federal action by submitting an application for Turkey Point Units 6 and 7 to the NRC. The NRC’s Federal action is issuance of COLs for two Westinghouse AP1000 reactors at the Turkey Point site near Homestead, Florida. The USACE is a cooperating agency in preparation of this EIS. The USACE’s Federal action is its decision of whether to issue, deny, or issue with modifications a Department of Army (DA) permit pursuant to Section 404 of the Clean Water Act and Section 10 of the Rivers and Harbors Act of 1899 to authorize certain construction activities potentially affecting waters of the United States.","Clean sibling example for the combined-license plus Department of Army permit family."
"permit_008","federal_permit","positive","include","npdes_permit_issuance","86e79ebec025a4ddae0557da1932fec1","Tampa Electric Company - Polk Power Station","Environmental Protection Agency","FINAL ENVIRONMENTAL IMPACT STATEMENT POLK POWER STATION TAMPA ELECTRIC COMPANY PROPOSED ENVIRONMENTAL PROTECTION AGENCY ISSUANCE OF A NATIONAL POLLUTANT DISCHARGE ELIMINATION SYSTEM PERMIT FOR A NEW SOURCE PROPOSED DEPARTMENT OF ENERGY CLEAN COAL COST-SHARED FINANCIAL ASSISTANCE UNDER THE DEPARTMENT OF ENERGY CLEAN COAL TECHNOLOGY DEMONSTRATION PROGRAM","Page-3","FINAL ENVIRONMENTAL IMPACT STATEMENT POLK POWER STATION TAMPA ELECTRIC COMPANY PROPOSED ENVIRONMENTAL PROTECTION AGENCY ISSUANCE OF A NATIONAL POLLUTANT DISCHARGE ELIMINATION SYSTEM PERMIT FOR A NEW SOURCE PROPOSED DEPARTMENT OF ENERGY CLEAN COAL COST-SHARED FINANCIAL ASSISTANCE UNDER THE DEPARTMENT OF ENERGY CLEAN COAL TECHNOLOGY DEMONSTRATION PROGRAM.","Best exact NPDES-permit-issuance title example."
"permit_009","federal_permit","positive","include","incidental_take_permit_application","5df42becc385c43ab0d1977d31d43e96","Bald Mountain Mine Juniper Project","Bureau of Land Management","Bald Mountain Mine Juniper Project Environmental Impact Statement","","The USFWS’s purpose for this Federal action is to evaluate and respond to KG-BM’s proposed nest removal and incidental take permit application in accordance with applicable laws, regulations, and policies.","Best exact incidental-take-permit-application example."
"permit_010","federal_permit","positive","include","renewed_amended_itp","710fcf8a229bb8bce183cf9632f9ea4a","Northern Corridor – Highway Right-of-Way, Issuance of an Incidental Take Permit","United States Fish and Wildlife Service","","5","A Renewed/Amended ITP is needed to extend the County’s access to previously authorized, but unrealized, incidental take of the MDT for an extended term of 25 years.","Best exact renewed/amended ITP example."
"permit_011","federal_permit","positive","include","hcp_incidental_take_permit","7c8cde84f2aae499bfc9989d6a019483","Proposed Habitat Conservation Plan and Incidental Take Permit for the Fowler Ridge Wind Farm, Benton County, Indiana","United States Fish and Wildlife Service","Final Environmental Impact Statement for Proposed Habitat Conservation Plan and Incidental Take Permit, Fowler Ridge Wind Farm, Benton County, Indiana","1","Final Environmental Impact Statement for Proposed Habitat Conservation Plan and Incidental Take Permit, Fowler Ridge Wind Farm, Benton County, Indiana.","Best exact Habitat Conservation Plan and Incidental Take Permit title example."
"permit_012","federal_permit","positive","include","itp_section10a1b","19ed0c38894bf6d479157aec6913c147","City of San Diego Vernal Pool Habitat Conservation Plan","United States Fish and Wildlife Service","City of San Diego Vernal Pool Habitat Conservation Plan","","Issuance of a federal Incidental Take Permit (ITP) under Section 10(a)(1)(B) of the Federal Endangered Species Act (FESA; the federal action under the National Environmental Policy Act ""NEPA"") will be required by the USFWS after the City’s approval process is complete.","Best exact Section 10(a)(1)(B) incidental-take-permit example."
"permit_013","federal_permit","positive","include","hydropower_license","3a76112482f1e4b3c21f7707b467252a","Goldendale Energy Storage Project","Federal Energy Regulatory Commission","FINAL ENVIRONMENTAL IMPACT STATEMENT FOR HYDROPOWER LICENSE Goldendale Energy Storage Project—Federal Energy Regulatory Commission Project Number 14861-002 Washington and Oregon","1","FINAL ENVIRONMENTAL IMPACT STATEMENT FOR HYDROPOWER LICENSE Goldendale Energy Storage Project—Federal Energy Regulatory Commission Project Number 14861-002 Washington and Oregon.","Best exact hydropower-license title example."
