project_id,document_id,process_type,energy_group,tech_group,extraction_method,page_start,page_end,n_words,excerpt_first_400_chars,qa_run_at
e6d0aaeb38240636485f4e8a09ec11df,da22d557519dfb4732256ac3fec17d1a,EA,Fossil Fuel,Land-based Oil & Gas,keyword_run,6,9,1466,"In the event of inadvertent discovery of cultural resources during project implementation, the BLM Field
Office Cultural Staff and the BLM Field Office Manager (661-391-6000) shall be immediately notified by
personnel responsible for the project. All work shall cease at the site of discovery, work which has the
potential to impact the resource, shall also cease until written approval to proceed ha",2026-05-19T21:23:47.762107+00:00
47dd0a03fd91515833b1d6609567843b,4da562621e24f9c0677da04762912f84,EA,Fossil Fuel,Land-based Oil & Gas,keyword_run,110,135,6887,"The following consultation and coordination efforts with tribes, individuals, organizations, and agencies
were conducted for the proposed leasing actions.
ENDANGERED SPECIES ACT CONSULTATION
The BLM consulted the Phoenix RMP with the USFWS in 1996 , resulting in Biological Opinion and
Concurrences for Phoenix Resource Management Plan and Environmental Impact Statement (2-21-88-F-
167). The RMP con",2026-05-19T21:23:47.762107+00:00
49da6abaf829e35481580149b733c9ca,925596d10782735ebaea01adbea72632,EIS,Fossil Fuel,Pipeline,heading_anchored,28,28,43,"Comments regarding visual/scenic resources.
4.17, 4.26
WAS
Trash / Waste
Comments regarding effects of trash/waste
during construction and operation.
WET
Wetlands / Water
Comments regarding wetlands, streams, rivers,
or associated vegetation.
Executive Summary,
3.3, 3.20, 4.0,
Appendix E,
Appendix M, Project
Website
WLD",2026-05-19T21:23:47.762107+00:00
1d0b118eeb6b82638bd1684ebbc30b57,f7525a5361caeed53a781e835fde7d33,EIS,Fossil Fuel,Land-based Oil & Gas,heading_anchored,143,144,558,"This section discusses the existing visual resources of the North Slope. Visual resources include all visible
features – natural and manmade, moving and stationary – that make up the landscape and can influence the
visual appeal of that landscape for a viewer. Viewers can include tourists, travelers, workers, and residents
from nearby communities. The 2020 EIS contains an extensive analysis in the",2026-05-19T21:23:47.762107+00:00
35a4c0d576557cced9f3839494fd3051,5f3ceced0c1c8be2fd56908218270c68,EIS,Fossil Fuel,Coal,keyword_run,60,66,1583,"Statements express the desire that mined lands are reclaimed to viable economic post-mining land
uses, so that coal communities will continue long after coal resources are depleted. This issue
addresses the ability of reclaimed mined land to provide an economic, social, or environmental
benefit to coal field communities. The following are examples of comments received regarding
concerns related to",2026-05-19T21:23:47.762107+00:00
6fe22bd5f62778fd06026c1a1a3a024f,5d257d15a4b67829b5c7f4a1b68aebf9,EIS,Fossil Fuel,Pipeline,keyword_run,34,54,8627,"The EA identifies several resources and hazards that would either not be present or
would not be affected by the Project’s activities and would not be discussed further.30
The remaining resource areas for analysis in the EA include groundwater; geologic
hazards; soil and erosion control; land use, recreation, and aesthetics; and air quality and
noise.
30 EA at 4-5.
5. Groundwater
Four groundwater ",2026-05-19T21:23:47.762107+00:00
e3774b83549fdbcd68eb1eccdc2152bf,76b013ba103b966b116060575fbededd,EIS,Decarbonization,Transmission,heading_anchored,109,110,133,"High Sensitivity Viewers
0–0.5 miles
0.5–2.5 miles
2.5–5 miles
>5 miles
Moderate Sensitivity Viewers
0–0.5 miles
0.5–2.5 miles
2.5–5 miles
>5 miles
Scenic Quality (miles)
A
B
C
BLM VRI Classifications (miles)
Class II
Class III
Class IV
BLM VRM Classifications (miles)
Class II
--
Class III
Class IV
Table 2-25
Summary of Impacts for Region III
Alternative III-A
Alternative III-B
Alternative III-C
V",2026-05-19T21:23:47.762107+00:00
8d59135f7eed1eb485071a7fa32fba4b,780041ed6580c64acf930d28c1d8a0a1,EA,Decarbonization,Solar,heading_anchored,65,88,9720,"An analysis of visual dominance, scale, and contrast was used to determine the degree that the WAPA
Proposed Action and Sterling Solar 1 Proposed Project would attract attention and to assess the
relative change in character as compared to the existing characteristic landscape and its inherent
scenic quality. The amount of visual contrast created is directly related to the amount of attention that",2026-05-19T21:23:47.762107+00:00
77dca54b23b3d76de08005cd97712b3f,19fa80fcffc404f0733214e19023eee7,EIS,Decarbonization,Transmission,heading_anchored,179,181,813,"residences along Highway 34 and other secondary roads in this portion of the North Alternative
corridor. For people living this this area, the line would likely be more visible and a new element
on the landscape. There are other transmission lines in this area of the corridor and mining
operations also contribute to the landscape. Depending on the view of a resident, the North
Alternative would li",2026-05-19T21:23:47.762107+00:00
1ffe23f2933b801cdf24f47185fa1010,1210736c10d44ddeb25ea62ff0d70486,EIS,Fossil Fuel,Land-based Oil & Gas,heading_anchored,149,164,7235,"BLM-administered public lands contain many outstanding scenic landscapes. While these
lands provide a place to enjoy the beauty of nature, they also are used for a multitude of other
activities. Any activities on these lands, such as recreation, mining, timber harvesting, grazing,
or road development have the potential to disturb the surface of the landscape and adversely
affect scenic values. VRM",2026-05-19T21:23:47.762107+00:00
